    t              u1             u2
0.288469       0.303153      -0.316343
0.289315       0.304068      -0.315639
0.290161       0.304984      -0.314933
0.291007       0.305899      -0.314225
0.291853       0.306815      -0.313514
0.292699        0.30773      -0.312801
0.293545       0.308645      -0.312085
0.294391       0.309561      -0.311367
0.295237       0.310476      -0.310647
0.296083       0.311392      -0.309925
0.296929       0.312307        -0.3092
0.297775       0.313222      -0.308473
0.298621       0.314138      -0.307743
0.299468       0.315053      -0.307011
0.300314       0.315969      -0.306277
0.30116       0.316884      -0.305541
0.302006       0.317799      -0.304802
0.302852       0.318715      -0.304061
0.303699        0.31963      -0.303318
0.304545       0.320546      -0.302572
0.305391       0.321461      -0.301824
0.306237       0.322376      -0.301073
0.307084       0.323292      -0.300321
0.30793       0.324207      -0.299566
0.308777       0.325122      -0.298808
0.309623       0.326038      -0.298049
0.31047       0.326953      -0.297287
0.311316       0.327868      -0.296523
0.312163       0.328784      -0.295756
0.31301       0.329699      -0.294987
0.313856       0.330614      -0.294216
0.314703        0.33153      -0.293443
0.31555       0.332445      -0.292667
0.316397        0.33336      -0.291889
0.317244       0.334276      -0.291108
0.318091       0.335191      -0.290326
0.318938       0.336106      -0.289541
0.319785       0.337021      -0.288753
0.320632       0.337937      -0.287964
0.32148       0.338852      -0.287172
0.322327       0.339767      -0.286378
0.323174       0.340683      -0.285581
0.324022       0.341598      -0.284782
0.324869       0.342513      -0.283981
0.325717       0.343428      -0.283178
0.326565       0.344344      -0.282372
0.327412       0.345259      -0.281564
0.32826       0.346174      -0.280754
0.329108       0.347089      -0.279941
0.329956       0.348004      -0.279126
0.330804        0.34892      -0.278309
0.331653       0.349835      -0.277489
0.332501        0.35075      -0.276668
0.333349       0.351665      -0.275844
0.334198        0.35258      -0.275017
0.335046       0.353495      -0.274189
0.335895       0.354411      -0.273358
0.336744       0.355326      -0.272524
0.337593       0.356241      -0.271689
0.338442       0.357156      -0.270851
0.339291       0.358071      -0.270011
0.34014       0.358986      -0.269168
0.340989       0.359901      -0.268324
0.341838       0.360816      -0.267477
0.342688       0.361731      -0.266628
0.343538       0.362646      -0.265776
0.344387       0.363561      -0.264922
0.345237       0.364476      -0.264066
0.346087       0.365391      -0.263208
0.346937       0.366306      -0.262347
0.347788       0.367221      -0.261484
0.348638       0.368136      -0.260619
0.349488       0.369051      -0.259751
0.350339       0.369966      -0.258881
0.35119       0.370881      -0.258009
0.352041       0.371796      -0.257135
0.352892       0.372711      -0.256258
0.353743       0.373626      -0.255379
0.354594       0.374541      -0.254498
0.355445       0.375455      -0.253614
0.356297        0.37637      -0.252729
0.357149       0.377285       -0.25184
0.358001         0.3782       -0.25095
0.358853       0.379115      -0.250057
0.359705        0.38003      -0.249163
0.360557       0.380944      -0.248265
0.36141       0.381859      -0.247366
0.362262       0.382774      -0.246464
0.363115       0.383688       -0.24556
0.363968       0.384603      -0.244654
0.364821       0.385518      -0.243745
0.365674       0.386433      -0.242834
0.366528       0.387347      -0.241921
0.367381       0.388261      -0.241006
0.368232       0.389173      -0.240092
0.369081       0.390083      -0.239177
0.369929        0.39099      -0.238261
0.370775       0.391896      -0.237346
0.371619       0.392799       -0.23643
0.372462       0.393701      -0.235515
0.373303         0.3946      -0.234599
0.374142       0.395498      -0.233683
0.374979       0.396393      -0.232766
0.375815       0.397287       -0.23185
0.376649       0.398178      -0.230933
0.377482       0.399068      -0.230017
0.378313       0.399955        -0.2291
0.379142       0.400841      -0.228183
0.37997       0.401725      -0.227265
0.380796       0.402607      -0.226348
0.38162       0.403486       -0.22543
0.382443       0.404364      -0.224513
0.383265       0.405241      -0.223595
0.384085       0.406115      -0.222677
0.384903       0.406987      -0.221759
0.38572       0.407858       -0.22084
0.386535       0.408727      -0.219922
0.387349       0.409594      -0.219003
0.388162       0.410459      -0.218085
0.388973       0.411322      -0.217166
0.389782       0.412184      -0.216247
0.39059       0.413043      -0.215327
0.391397       0.413901      -0.214408
0.392202       0.414758      -0.213489
0.393006       0.415612      -0.212569
0.393808       0.416465      -0.211649
0.394609       0.417316      -0.210729
0.395409       0.418165      -0.209809
0.396207       0.419013      -0.208889
0.397004       0.419859      -0.207969
0.397799       0.420703      -0.207048
0.398593       0.421546      -0.206128
0.399386       0.422387      -0.205207
0.400178       0.423226      -0.204286
0.400968       0.424063      -0.203365
0.401757       0.424899      -0.202444
0.402544       0.425734      -0.201523
0.403331       0.426566      -0.200601
0.404116       0.427397       -0.19968
0.404899       0.428227      -0.198758
0.405682       0.429055      -0.197837
0.406463       0.429881      -0.196915
0.407243       0.430705      -0.195993
0.408022       0.431529      -0.195071
0.408799        0.43235      -0.194148
0.409575        0.43317      -0.193226
0.41035       0.433988      -0.192303
0.411124       0.434805      -0.191381
0.411897       0.435621      -0.190458
0.412668       0.436435      -0.189535
0.413439       0.437247      -0.188612
0.414208       0.438058      -0.187689
0.414976       0.438867      -0.186766
0.415742       0.439675      -0.185843
0.416508       0.440481      -0.184919
0.417272       0.441286      -0.183996
0.418036       0.442089      -0.183072
0.418798       0.442891      -0.182148
0.419559       0.443692      -0.181224
0.420319       0.444491        -0.1803
0.421078       0.445288      -0.179376
0.421836       0.446084      -0.178452
0.422592       0.446879      -0.177528
0.423348       0.447672      -0.176603
0.424103       0.448464      -0.175679
0.424856       0.449255      -0.174754
0.425608       0.450044      -0.173829
0.42636       0.450831      -0.172904
0.42711       0.451617      -0.171979
0.427859       0.452402      -0.171054
0.428608       0.453186      -0.170129
0.429355       0.453968      -0.169204
0.430101       0.454749      -0.168278
0.430846       0.455528      -0.167353
0.43159       0.456306      -0.166427
0.432333       0.457083      -0.165502
0.433075       0.457858      -0.164576
0.433816       0.458632       -0.16365
0.434557       0.459405      -0.162724
0.435296       0.460176      -0.161798
